Three-striped night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Amazon black howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Bolivian red howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Brown howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Colombian red howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Guyanan red howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Mantled howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Maranhão red-handed howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Red-handed howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Spix's red-handed howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Ursine howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Yucatán black howler,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-headed spider monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Brown spider monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Geoffroy's spider monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Peruvian spider monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Red-faced spider monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-bellied spider monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-cheeked spider monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Northern muriqui,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern muriqui,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Common woolly monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Yellow-tailed woolly monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Goeldi's marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-tufted marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Buffy-headed marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Buffy-tufted marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Common marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-headed marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Wied's marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Eastern pygmy marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Western pygmy marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
